Date,Product Name,Price (AED),Discount,Stock Status,Available Qty,Product URL
2025-05-18,"Intel Core i9 14900K 3.2GHz 24-Core LGA 1700 14th Gen Processor, 32 Threads, 36MB Cache Memory, 6GHz Max Turbo Frequency, Intel UHD Graphics 770, 2CH DDR5-5600 / 192GB Max | CM8071505094017",1837.50,16% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i9-14900k-3-2ghz-24-core-lga-1700-14th-gen-processor-32-threads-36mb-cache-memory-6ghz-max-turbo-frequency-intel-uhd-graphics-770-2ch-ddr5-5600-192gb-max-cm8071505094017/
2025-05-18,"Intel Core i9 14900KF 3.2GHz 24-Core LGA 1700 14th Gen Processor, 24 Cores & 32 Threads, 36MB Cache Memory, 6GHz MaxTurbo Frequency, Dual-CH DDR5-5600 Memory / 192GB Max | i9-14900KF Tray",1680.00,21% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i9-14900kf-3-2ghz-24-core-lga-1700-14th-gen-processor-24-cores-32-threads-36mb-cache-memory-6ghz-maxturbo-frequency-dual-ch-ddr5-5600-memory-192gb-max-i9-14900kf-tray/
2025-05-18,"Intel Core i7-14700KF 3.4 GHz 20-Core LGA 1700 14th Gen Processor, 20 Cores & 28 Threads, 30MB Cache Memory, 5.6GHz MaxTurbo Boost, Dual-Channel DDR5-5600 / 192GB Max Memory | BX8071514700KFSRN3Y",1378.00,,In Stock,10,https://uae.microless.com/product/intel-core-i7-14700kf-3-4-ghz-20-core-lga-1700-14th-gen-processor-20-cores-28-threads-30mb-cache-memory-5-6ghz-maxturbo-boost-dual-channel-ddr5-5600-192gb-max-memory-bx8071514700kfsrn3y/
2025-05-18,"AMD Ryzen 7 8700F AM5 CPU Processor, 8 Cores & 16 Threads, 5 GHz Max Boost Clock, 8MB L2 & 16MB L3 Cache, Zen 4 Architecture, DDR5-5200 Memory, Includes Wraith Stealth Cooler | 100-100001590BOX",945.00,12% OFF,,,https://uae.microless.com/product/amd-ryzen-7-8700f-am5-cpu-processor-8-cores-16-threads-5-ghz-max-boost-clock-8mb-l2-16mb-l3-cache-zen-4-architecture-ddr5-5200-memory-includes-wraith-stealth-cooler-100-100001590box/
2025-05-18,"AMD Ryzen 7 9700X AM5 CPU Processor, 8 Cores & 16 Threads, 5.5 GHz Max Boost Clock, 8MB L2 & 32MB L3 Cache, AMD Radeon Graphics, DDR5-5600 ECC, Zen 5 Architecture, PCIe 5.0 x16 | 100-100001404WOF",1317.75,16% OFF,In Stock,10,https://uae.microless.com/product/amd-ryzen-7-9700x-am5-cpu-processor-8-cores-16-threads-5-5-ghz-max-boost-clock-8mb-l2-32mb-l3-cache-amd-radeon-graphics-ddr5-5600-ecc-zen-5-architecture-pcie-5-0-x16-100-100001404wof/
2025-05-18,"AMD Ryzen 7 7700X 4.5 GHz AM5 105W Desktop Processor, 8 Cores & 16 Threads, 5.4 GHz Max Boost Clock, 32MB L3 Cache, AMD Radeon Graphics, 2CH-DDR5-5200 / 128GB Max, Zen 4 Arc | 100-100000591WOF",1130.00,21% OFF,In Stock,2,https://uae.microless.com/product/amd-ryzen-7-7700x-4-5-ghz-am5-105w-desktop-processor-8-cores-16-threads-5-4-ghz-max-boost-clock-32mb-l3-cache-amd-radeon-graphics-2ch-ddr5-5200-128gb-max-zen-4-arc-100-100000591wof/
2025-05-18,"Intel Core i5-14600KF 3.5 GHz 14-Core LGA 1700 14th Gen Processor, 14 Cores & 20 Threads, 24MB Cache Memory, 5.3GHz MaxTurbo Boost, Dual-Channel DDR5-5600 / 192GB Max Memory | BX8071514600KFSRN42",861.00,37% OFF,,,https://uae.microless.com/product/intel-core-i5-14600kf-3-5-ghz-14-core-lga-1700-14th-gen-processor-14-cores-20-threads-24mb-cache-memory-5-3ghz-maxturbo-boost-dual-channel-ddr5-5600-192gb-max-memory-bx8071514600kfsrn42/
2025-05-18,"AMD Ryzen Threadripper 7980X 3.2GHz sTR5 Processor, 64 Cores & 128 Threads, 5.1GHz Max Turbo Frequency, 256MB L3 Cache, 4CH-DDR5-5200 ECC Memory Max. 1TB, AMD Zen 4 Arc | 100-100001350WOF",18498.90,10% OFF,In Stock,10,https://uae.microless.com/product/amd-ryzen-threadripper-7980x-3-2ghz-str5-processor-64-cores-128-threads-5-1ghz-max-turbo-frequency-256mb-l3-cache-4ch-ddr5-5200-ecc-memory-max-1tb-amd-zen-4-arc-100-100001350wof/
2025-05-18,"Intel Core i5-14600K 3.5 GHz 14-Core LGA 1700 14th Gen Processor, 14 Cores & 20 Threads, 24MB Cache Memory, 5.3GHz MaxTurbo Boost, Intel UHD Graphics 770, 2CH DDR5 / 192GB Max | BX8071514600KSRN43",1050.00,19% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i5-14600k-3-5-ghz-14-core-lga-1700-14th-gen-processor-14-cores-20-threads-24mb-cache-memory-5-3ghz-maxturbo-boost-intel-uhd-graphics-770-2ch-ddr5-192gb-max-bx8071514600ksrn43/
2025-05-18,"AMD Ryzen 5 8400F AM5 Desktop Processor, 6 Cores & 12 Threads, 4.7 GHz Max Boost Clock, 6MB L2 & 16MB L3 Cache, DDR5-5200 Memory, Zen 4 Architecture, Includes Wraith Stealth Cooler | 100-100001591BOX",540.75,21% OFF,,,https://uae.microless.com/product/amd-ryzen-5-8400f-am5-desktop-processor-6-cores-12-threads-4-7-ghz-max-boost-clock-6mb-l2-16mb-l3-cache-ddr5-5200-memory-zen-4-architecture-includes-wraith-stealth-cooler-100-100001591box/
2025-05-18,"AMD Ryzen 5 5500 Desktop Processor, Socket AM4, 6 Core Up to 4.2GHz, 7nm, 12 Threads, 19MB Cache, 65W Thermal Design Power, DDR4 Memory Type, PCIe 3.0 Connectivity | 100-100000457BOX",336.00,46% OFF,,,https://uae.microless.com/product/amd-ryzen-5-5500-desktop-processor-socket-am4-6-core-up-to-4-2ghz-7nm-12-threads-19mb-cache-65w-thermal-design-power-ddr4-memory-type-pcie-3-0-connectivity-100-100000457box/
2025-05-18,"SpectraX Bundle - AMD Ryzen 7 9800X3D AM5 Desktop Processor, 8 Cores & 16 Threads, Up to 5.2 GHz Max Boost Clock + ASUS ROG CROSSHAIR X870E HERO, AMD AM5 Motherboard",4598.00,17% OFF,In Stock,10,https://uae.microless.com/product/spectrax-bundle-amd-ryzen-7-9800x3d-am5-desktop-processor-8-cores-16-threads-up-to-5-2-ghz-max-boost-clock-asus-rog-crosshair-x870e-hero-amd-am5-motherboard/
2025-05-18,"AMD Ryzen Threadripper PRO 7995WX 2.5 GHz sTR5 Processor, 96 Cores & 192 Threads, 5.1GHz Max Turbo Frequency, 384MB L3 Cache, 8-CH DDR5 ECC Memory, Up to 5200MT/s, Zen 4 Arc | 100-100000884WOF",41185.00,5% OFF,In Stock,10,https://uae.microless.com/product/amd-ryzen-threadripper-pro-7995wx-2-5-ghz-str5-processor-96-cores-192-threads-5-1ghz-max-turbo-frequency-384mb-l3-cache-8-ch-ddr5-ecc-memory-up-to-5200mt-s-zen-4-arc-100-100000884wof/
2025-05-18,"Intel Core Ultra 7 265KF 3.9 GHz LGA 1851 Processor, 20-Cores & 20-Threads, 36 MB Cache, 5.5 GHz Max Turbo Frequency, Dual Channel DDR5 Memory, 192GB Max Memory Size | BX80768265KF",1365.00,16% OFF,In Stock,10,https://uae.microless.com/product/intel-core-ultra-7-265kf-3-9-ghz-lga-1851-processor-20-cores-20-threads-36-mb-cache-5-5-ghz-max-turbo-frequency-dual-channel-ddr5-memory-192gb-max-memory-size-bx80768265kf/
2025-05-18,"AMD Ryzen 5 5600G Cezanne 6-Core Desktop Processor, 3.9 GHz Socket, AM4, 65W, AMD Radeon Graphics | 100-100000252BOX",598.46,21% OFF,,,https://uae.microless.com/product/amd-ryzen-5-5600g-cezanne-6-core-desktop-processor-3-9-ghz-socket-am4-65w-amd-radeon-graphics-100-100000252box/
2025-05-18,"AMD Ryzen 9 9900X3D AM5 Desktop Processor, 12 Core & 24 Threads, Up to 5.5 GHz Boost Clock, AMD Radeon Graphics, 192GB Max Memory, Dual Channel, Black | 100-100001368WOF",2799.00,,In Stock,8,https://uae.microless.com/product/amd-ryzen-9-9900x3d-am5-desktop-processor-12-core-24-threads-up-to-5-5-ghz-boost-clock-amd-radeon-graphics-192gb-max-memory-dual-channel-black-100-100001368wof/
2025-05-18,"AMD Ryzen 5 8600G 4.3GHz AM5 Desktop Processor, 6 Cores & 12 Threads, 5GHz Max Boost Clock, 6MB L2 & 16MB L3 Cache, AMD Radeon 760M, Dual CH DDR5-5200 Slots 256 GB Max Memory | 100-100001237BOX",787.50,15% OFF,,,https://uae.microless.com/product/amd-ryzen-5-8600g-4-3-ghz-am5-processor-6-cores-12-threads-5-ghz-max-boost-clock-6mb-l2-16mb-l3-cache-dual-ch-ddr5-5200-slots-256-gb-max-memory-amd-radeon-760m-100-100001237box/
2025-05-18,"AMD Ryzen 5 5600 3.5 GHz AM4 Desktop Processor, 6 Cores & 12 Threads, 4.4 GHz Max Boost Clock, 35MB Cache Memory, Dual Channel DDR4-3200 Memory, Precision Boost 2 | 100-100000927BOX",489.00,27% OFF,,,https://uae.microless.com/product/amd-ryzen-5-5600-3-5-ghz-am4-desktop-processor-6-cores-12-threads-4-4-ghz-max-boost-clock-35mb-cache-memory-dual-channel-ddr4-3200-memory-precision-boost-2-100-100000927box/
2025-05-18,"AMD Ryzen Threadripper 7970X 4GHz sTR5 Processor, 32 Cores & 64 Threads, 5.3GHz Max Turbo Frequency, 128MB L3 Cache, 4CH-DDR5-5200 ECC Memory Max. 1TB, AMD Zen 4 Arc | 100-100001351WOF",9817.50,13% OFF,In Stock,10,https://uae.microless.com/product/amd-ryzen-threadripper-7970x-4ghz-str5-processor-32-cores-64-threads-5-3ghz-max-turbo-frequency-128mb-l3-cache-4ch-ddr5-5200-ecc-memory-max-1tb-amd-zen-4-arc-100-100001351wof/
2025-05-18,"AMD Ryzen Threadripper PRO 7975WX 4 GHz sTR5 Processor, 32 Cores & 64 Threads, 5.3GHz Max Turbo Frequency, 128MB L3 Cache, 8-CH DDR5 ECC Memory, Up to 5200MT/s, Zen 4 Arc | 100-100000453WOF",16275.00,,In Stock,10,https://uae.microless.com/product/amd-ryzen-threadripper-pro-7975wx-4-ghz-str5-processor-32-cores-64-threads-5-3ghz-max-turbo-frequency-128mb-l3-cache-8-ch-ddr5-ecc-memory-up-to-5200mt-s-zen-4-arc-100-100000453wof/
2025-05-18,"Intel Core Ultra 5 225F LGA 1851 Processor, 10 Cores & 10 Threads, 20MB Cache Memory, 4.9 GHz Maximum Turbo Boost Frequency, Dual-Channel DDR5 Memory, 256GB Max Memory Size | BX80768225F",966.00,9% OFF,,,https://uae.microless.com/product/intel-core-ultra-5-225f-lga-1851-processor-10-cores-10-threads-20mb-cache-memory-4-9-ghz-maximum-turbo-boost-frequency-dual-channel-ddr5-memory-256gb-max-memory-size-bx80768225f/
2025-05-18,"Intel Core i9 14900KF 3.2GHz 24-Core LGA 1700 14th Gen Processor, 24 Cores & 32 Threads, 36MB Cache Memory, 6GHz MaxTurbo Frequency, Dual-CH DDR5-5600 Memory / 192GB Max | BX8071514900KF",1788.00,28% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i9-14900kf-3-2ghz-24-core-lga-1700-14th-gen-processor-24-cores-32-threads-36mb-cache-memory-6ghz-maxturbo-frequency-dual-ch-ddr5-5600-memory-192gb-max-bx8071514900kf/
2025-05-18,"AMD Ryzen 9 7900X 4.7 GHz AM5 170W Desktop Processor, 12 Cores & 24 Threads, 5.6 GHz Max Boost Clock, 64MB L3 Cache, AMD Radeon Graphics, 2CH-DDR5-5200 / 128GB Max, Zen 4 Arc | 100-100000589WOF",1399.00,21% OFF,In Stock,10,https://uae.microless.com/product/amd-ryzen-9-7900x-4-7-ghz-am5-170w-desktop-processor-12-cores-24-threads-5-6-ghz-max-boost-clock-64mb-l3-cache-amd-radeon-graphics-2ch-ddr5-5200-128gb-max-zen-4-arc-100-100000589wof/
2025-05-18,"Carbon Elite Bundle - AMD Ryzen 7 9800X3D AM5 Desktop Processor, 8 Cores & 16 Threads, Up to 5.2 GHz Max Boost Clock + MSI MPG X870E Carbon Wi-Fi AM5 ATX Motherboard",4119.00,8% OFF,In Stock,10,https://uae.microless.com/product/carbon-elite-bundle-amd-ryzen-7-9800x3d-am5-desktop-processor-8-cores-16-threads-up-to-5-2-ghz-max-boost-clock-msi-mpg-x870e-carbon-wi-fi-am5-atx-motherboard/
2025-05-18,"AMD Ryzen Threadripper 7960X 4.2GHz sTR5 Processor, 24 Cores & 48 Threads, 5.3GHz Max Turbo Frequency, 128MB L3 Cache, 4CH-DDR5-5200 ECC Memory Max. 1TB, AMD Zen 4 Arc | 100-100001352WOF",6196.52,2% OFF,In Stock,10,https://uae.microless.com/product/amd-ryzen-threadripper-7960x-4-2ghz-str5-processor-24-cores-48-threads-5-3ghz-max-turbo-frequency-128mb-l3-cache-4ch-ddr5-5200-ecc-memory-max-1tb-amd-zen-4-arc-100-100001352wof/
2025-05-18,"AMD Ryzen Threadripper PRO 7985WX 3.2 GHz sTR5 Processor, 64 Cores & 128 Threads, 5.1GHz Max Turbo Frequency, 256MB L3 Cache, 8-CH DDR5 ECC Memory, Up to 5200MT/s, Zen 4 Arc | 100-100000454WOF",30887.04,,In Stock,10,https://uae.microless.com/product/amd-ryzen-threadripper-pro-7985wx-3-2-ghz-str5-processor-64-cores-128-threads-5-1ghz-max-turbo-frequency-256mb-l3-cache-8-ch-ddr5-ecc-memory-up-to-5200mt-s-zen-4-arc-100-100000454wof/
2025-05-18,"AMD Ryzen 7 5700X Desktop Processor, Socket AM4, 8 Cores 4.6 GHz, 7nm, 16 Threads, 36MB Cache, 65W Thermal Design Power, DDR4 Memory Type, Supports PCIe 4.0 x16 | 100-100000926WOF",661.50,28% OFF,,,https://uae.microless.com/product/amd-ryzen-7-5700x-desktop-processor-socket-am4-8-cores-4-6-ghz-7nm-16-threads-36mb-cache-65w-thermal-design-power-ddr4-memory-type-supports-pcie-4-0-x16-100-100000926wof/
2025-05-18,"Intel Core i5-14400 2.5 GHz 10-Core LGA 1700 Processor, Intel UHD Graphics 730, 10 Cores & 16 Threads, 20MB Cache, 5 GHz Maximum Turbo Boost, Dual CH. DDR5-4800 / 192GB Max | BX8071514400SRN46",892.50,8% OFF,,,https://uae.microless.com/product/intel-core-i5-14400-2-5-ghz-10-core-lga-1700-processor-intel-uhd-graphics-730-10-cores-16-threads-20mb-cache-5-ghz-maximum-turbo-boost-dual-ch-ddr5-4800-192gb-max-bx8071514400srn46/
2025-05-18,"AMD EPYC 9754 Processor Kit, 128 CPU Cores, 256 Threads, SP5 CPU Socket, 256MB L3 Cache, Up to 3.1GHz Boost Clock, 360W TDW, DDR5 Memory Type, PCIe 5.0 x128 | 100-000001234",31500.00,,In Stock,10,https://uae.microless.com/product/amd-epyc-9754-processor-kit-128-cpu-cores-256-threads-sp5-cpu-socket-256mb-l3-cache-up-to-3-1ghz-boost-clock-360w-tdw-ddr5-memory-type-pcie-5-0-x128-100-000001234/
2025-05-18,Intel Core i5-12400F 12th Gen Alder Lake Desktop Processor 6 Total Cores 12 Threads 18 MB Cache 2 5 GHz Base Frequency LGA 1700 Socket 65W Power 128 GB Max Memory Size Tray i5-12400F Tray,419.24,39% OFF,,,https://uae.microless.com/product/intel-core-i5-12400f-12th-gen-alder-lake-desktop-processor-6-total-cores-12-threads-18-mb-cache-2-5-ghz-base-frequency-lga-1700-socket-65w-power-128-gb-max-memory-size-tray-i5-12400f-tray/
2025-05-18,"Intel Core i9-14900KS Special Edition 3.2 GHz LGA 1700 Desktop Processor, 24 Cores & 32 Threads, 5.9 GHz Max Turbo Boost Frequency, Intel UHD 770 Graphics, 2* DDR5 & 192GB Max Memory | BX8071514900KS",2887.50,4% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i9-14900ks-special-edition-3-2-ghz-lga-1700-desktop-processor-24-cores-32-threads-5-9-ghz-max-turbo-boost-frequency-intel-uhd-770-graphics-2-ddr5-192gb-max-memory-bx8071514900ks/
2025-05-18,"Intel Core i7-14700 2.1GHz LGA1700 Desktop Processor, 20 Core & 28 Threads, 5.4 GHz Max Turbo Boost, 33MB Cache, Integrated Intel UHD Graphics 770, 2CH DDR5 Memory / 192GB Max | BX8071514700SRN40",1365.00,11% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i7-14700-2-1ghz-lga1700-desktop-processor-20-core-28-threads-5-4-ghz-max-turbo-boost-33mb-cache-integrated-intel-uhd-graphics-770-2ch-ddr5-memory-192gb-max-bx8071514700srn40/
2025-05-18,"Intel Core i7-14700F 2.1GHz LGA 1700 Desktop Processor, 20 Cores & 28 Threads, 5.4 GHz Max Turbo Boost, 33MB Cache, Dual-CH DDR5-5600 ECC Memory / 192GB Max, Hybrid Core Arch | BX8071514700FSRN3Z",1290.00,17% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i7-14700f-2-1ghz-lga-1700-desktop-processor-20-cores-28-threads-5-4-ghz-max-turbo-boost-33mb-cache-dual-ch-ddr5-5600-ecc-memory-192gb-max-hybrid-core-arch-bx8071514700fsrn3z/
