Date,Product Name,Model,Price (AED),Original Price (AED),Discount,Stock Status,Available Qty,Product URL
2025-05-27,DeepCool CG530 4F Mid-Tower TG ATX Case - Black | R-CG530-BKADA4-G-1,,315.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/deepcool-cg530-4f-mid-tower-tg-atx-case-black-r-cg530-bkada4-g-1.html
2025-05-27,MONTECH King 95 PRO Dual-Chamber Mid-Tower ARGB ATX Gaming Case - Rose Gold | King-95-PRO,,675.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/montech-king-95-pro-dual-chamber-mid-tower-argb-atx-gaming-case-rose-gold-king-95-pro.html
2025-05-27,LIAN LI LANCOOL 207 Mid-Tower Tempered Glass ATX Case - White | LAN207RW,,350.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/lian-li-lancool-207-mid-tower-tempered-glass-atx-case-white-lan207rw.html
2025-05-27,LIAN LI LANCOOL 207 Mid-Tower Tempered Glass ATX Case - Black | LAN207RX,,335.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/lian-li-lancool-207-mid-tower-tempered-glass-atx-case-black-lan207rx.html
2025-05-27,Montech KING 95 ULTRA GS Dual-Chamber Mid-Tower ATX Case - Silver | KING-95-Ultra,,735.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/montech-king-95-ultra-gs-dual-chamber-mid-tower-atx-case-silver-king-95-ultra.html
2025-05-27,APNX C1-R Mid-Tower ATX Gaming Case - White | APCM-CR01343.21,,440.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/apnx-c1-r-mid-tower-atx-gaming-case-white-apcm-cr01343-21.html
2025-05-27,APNX C1-R Mid-Tower ATX Gaming Case - Black | APCM-CR01343.11,,430.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/apnx-c1-r-mid-tower-atx-gaming-case-black-apcm-cr01343-11.html
2025-05-27,APNX V1 Dual-Chamber Wood Mid-Tower ATX Gaming Case - Black/White | APCM-VI01103.M1,,545.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/apnx-v1-dual-chamber-wood-mid-tower-atx-gaming-case-black-white-apcm-vi01103-m1.html
2025-05-27,APNX V1 Dual-Chamber Mid-Tower ATX Gaming Case - White/Wood | APCM-VI01103.21,,575.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/apnx-v1-dual-chamber-mid-tower-atx-gaming-case-white-wood-apcm-vi01103-21.html
2025-05-27,APNX V1 Dual-Chamber Mid-Tower ATX Gaming Case - Black/Wood | APCM-VI01103.11,,545.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/apnx-v1-dual-chamber-mid-tower-atx-gaming-case-black-wood-apcm-vi01103-11.html
2025-05-27,APNX V1 Dual-Chamber Mid-Tower ATX Gaming Case - Black/White | APCM-VI01003.M1,,485.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/apnx-v1-dual-chamber-mid-tower-atx-gaming-case-black-white-apcm-vi01003-m1.html
2025-05-27,APNX V1 Dual-Chamber Mid-Tower ATX Gaming Case - White | APCM-VI01003.21,,495.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/apnx-v1-dual-chamber-mid-tower-atx-gaming-case-white-apcm-vi01003-21.html
2025-05-27,Lian Li A3 Wooden Panel Mini-Tower M-ATX Case - White | G99.A3W-WD.00,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/lian-li-a3-wooden-panel-mini-tower-m-atx-case-white-g99-a3w-wd-00.html
