Date,Product Name,Model,Price (AED),Original Price (AED),Discount,Stock Status,Available Qty,Product URL
2025-05-20,HAVN HS 420 VGPU Dual-Chamber Airflow Mid-Tower ATX Gaming Case - Black | HVN-CA-HS420-08,,,,-6%,Out of Stock,,https://gccgamers.com/computer-parts-compnents/havn-hs-420-vgpu-dual-chamber-airflow-mid-tower-atx-gaming-case-black-hvn-ca-hs420-08.html
2025-05-20,HAVN HS 420 Dual-Chamber Airflow Mid-Tower ATX Gaming Case - White | HVN-CA-HS420-05,,765.0,840.00,-9%,In Stock,,https://gccgamers.com/computer-parts-compnents/havn-hs-420-dual-chamber-airflow-mid-tower-atx-gaming-case-white-hvn-ca-hs420-05.html
2025-05-20,HAVN HS 420 Dual-Chamber Airflow Mid-Tower ATX Gaming Case - Black | HVN-CA-HS420-06,,765.0,840.00,-9%,In Stock,,https://gccgamers.com/computer-parts-compnents/havn-hs-420-dual-chamber-airflow-mid-tower-atx-gaming-case-black-hvn-ca-hs420-06.html
2025-05-20,HYTE Revolt 3 Premium Mini-ITX SFF Compact Case - White | CS-HYTE-REVOLT3-W,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/hyte-revolt-3-premium-mini-itx-sff-compact-case-white-cs-hyte-revolt3-w.html
2025-05-20,HYTE Revolt 3 Premium Mini-ITX SFF Compact Case - Black | HYTE-REVOLT3-B,,525.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/hyte-revolt-3-premium-mini-itx-sff-compact-case-black-hyte-revolt3-b.html
2025-05-20,HYTE Y70 Dual-Chamber Mid-Tower ATX Case - Taro Milk | CS-HYTE-Y70-TM,,840.0,899.00,-7%,In Stock,,https://gccgamers.com/computer-parts-compnents/hyte-y70-dual-chamber-mid-tower-atx-case-taro-milk-cs-hyte-y70-tm.html
2025-05-20,Fractal Design Ridge Mini-ITX Compact Case - White | FD-C-RID1N-12,,650.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/fractal-design-ridge-mini-itx-compact-case-white-fd-c-rid1n-12.html
2025-05-20,Fractal Design Ridge Mini-ITX Compact Case - Black | FD-C-RID1N-11,,630.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/fractal-design-ridge-mini-itx-compact-case-black-fd-c-rid1n-11.html
2025-05-20,Xigmatek Quantum Arctic ARGB Full-Tower EATX Case - White | EN42881,,250.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-quantum-arctic-argb-full-tower-eatx-case-white-en42881.html
2025-05-20,Xigmatek Aqua V Air Arctic ARGB Mid-Tower TG ATX Case - White | EN45837,,370.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-aqua-v-air-arctic-argb-mid-tower-tg-atx-case-white-en45837.html
2025-05-20,Xigmatek Aqua V Air ARGB Mid-Tower TG ATX Case - Black | EN45820,,299.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-aqua-v-air-argb-mid-tower-tg-atx-case-black-en45820.html
2025-05-20,Xigmatek Aqua V Arctic Mid-Tower TG ATX Case - White | EN45813,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-aqua-v-arctic-mid-tower-tg-atx-case-white-en45813.html
2025-05-20,Xigmatek Aqua V Mid-Tower TG ATX Case - Black | EN45806,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-aqua-v-mid-tower-tg-atx-case-black-en45806.html
2025-05-20,Xigmatek CUBI II Arctic Mid-Tower TG EATX Case - White | EN45493,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-cubi-ii-arctic-mid-tower-tg-eatx-case-white-en45493.html
